Name,AbelHashPower,AbelHash (Mh/s),Autolykos2+PyrinHash-2 (Gh/s),Autolykos2+PyrinHashPower (Watt),Autolykos2+PyrinHash (Mh/s),Autolykos2+SHA512256d-2 (Mh/s),Autolykos2+SHA512256dPower (Watt),Autolykos2+SHA512256d (Mh/s),Autolykos2Power (Watt),Autolykos2 (Mh/s),BEAMPower (Watt),BEAM (Sol/s),CryptoNightGPUPower (Watt),CryptoNightGPU (H/s),Cuckatoo31Power (Watt),Cuckatoo31 (Gp/s),Cuckatoo32Power (Watt),Cuckatoo32 (Gp/s),CuckooCortexPower (Watt),CuckooCortex (Gp/s),CuckoocyclePower (Watt),Cuckoocycle (Gp/s),CurvehashPower (Watt),Curvehash (Mh/s),DynexSolvePower (Watt),DynexSolve (H/s),Etchash+SHA512256d-2 (Mh/s),Etchash+SHA512256dPower (Watt),Etchash+SHA512256d (Mh/s),EtchashPower (Watt),Etchash (Mh/s),Ethash+Kawpow-2 (Mh/s),Ethash+KawpowPower (Watt),Ethash+Kawpow (Mh/s),EthashPower (Watt),Ethash (Mh/s),EvrProgPowPower (Watt),EvrProgPow (Mh/s),FiroPowPower (Watt),FiroPow (Mh/s),FishHash+PyrinHash-2 (Gh/s),FishHash+PyrinHashPower (Watt),FishHash+PyrinHash (Mh/s),FishHashPower (Watt),FishHash (Mh/s),GhostriderPower (Watt),Ghostrider (H/s),HooHashPower (Watt),HooHash (Mh/s),KawpowPower (Watt),Kawpow (Mh/s),MeowPoWPower (Watt),MeowPoW (Mh/s),MerakiPower (Watt),Meraki (Mh/s),NexapowPower (Watt),Nexapow (Mh/s),Octopus+PyrinHash-2 (Gh/s),Octopus+PyrinHashPower (Watt),Octopus+PyrinHash (Mh/s),Octopus+SHA512256d-2 (Mh/s),Octopus+SHA512256dPower (Watt),Octopus+SHA512256d (Mh/s),OctopusPower (Watt),Octopus (Mh/s),ProgPowZPower (Watt),ProgPowZ (Mh/s),PyrinHashPower (Watt),PyrinHash (Gh/s),SHA512256dPower (Watt),SHA512256d (Mh/s),SkydogePower (Watt),Skydoge (Mh/s),VerthashPower (Watt),Verthash (Kh/s),WarthogPower (Watt),Warthog (Mh/s),X16RTPower (Watt),X16RT (Mh/s),XelisHashv2Power (Watt),XelisHashv2 (Kh/s),ZelHashPower (Watt),ZelHash (Sol/s),ZhashPower (Watt),Zhash (Sol/s),a2000 (A2000),a380 (A380),a4000 (A4000),a5000 (A5000),a750 (A750),a770 (A770),b580 (B580),bc160 (BC160),bc250 (BC250),cmp100210 (CMP100210),cmp170 (CMP170),cmp30 (CMP30),cmp40 (CMP40),cmp50 (CMP50),cmp70 (CMP70),cmp90 (CMP90),kwh ($/kWh),p102 (P102),p104 (P104),p106 (P106),vega56 (VEGA56),vega64 (VEGA64),vii (VII),zkSNARKPower (Watt),zkSNARK (Mproof/s)
4090,249.0,124.7,0.0,0.0,0.0,3000.0,335.0,214.37,183.0,265.82,248.0,85.4,214.0,4640.0,0.0,0.0,273.0,1.65,261.0,7.44,268.0,17.6,0.0,0.0,247.0,13680.0,0.0,0.0,0.0,249.0,124.7,0.0,0.0,0.0,249.0,124.7,0.0,0.0,299.0,64.82,14.61,442.0,73.06,240.0,82.58,0.0,0.0,196.0,1150.0,299.0,65.0,0.0,0.0,386.0,148.43,410.0,292.48,0.0,0.0,0.0,0.0,0.0,0.0,279.0,123.14,299.0,64.57,347.0,19.45,254.0,3290.0,279.0,67.42,187.0,2100.0,0.0,0.0,171.0,60.7,211.0,43.89,329.0,144.6,226.0,186.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,310.0,1.43
4080S,168.0,87.95,0.0,0.0,0.0,0.0,0.0,0.0,92.0,163.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,9360.0,0.0,0.0,0.0,166.0,87.08,0.0,0.0,0.0,166.0,87.06,245.0,48.27,0.0,0.0,8.53,319.0,57.22,162.0,58.96,0.0,0.0,137.0,748.0,249.0,52.1,0.0,0.0,0.0,0.0,238.0,180.49,0.0,0.0,0.0,0.0,0.0,0.0,227.0,90.27,0.0,0.0,213.0,12.22,151.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,36.27,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,219.0,0.92
4080,179.0,87.85,0.0,0.0,0.0,1910.0,241.0,142.36,119.0,172.53,196.0,60.43,168.0,3160.0,0.0,0.0,220.0,1.44,236.0,7.48,0.0,0.0,0.0,0.0,171.0,9170.0,0.0,0.0,0.0,176.0,87.04,0.0,0.0,0.0,179.0,87.85,242.0,47.06,230.0,46.3,8.37,311.0,55.02,157.0,56.56,0.0,0.0,136.0,711.0,228.0,46.53,0.0,0.0,279.0,104.21,275.0,175.99,0.0,0.0,0.0,0.0,0.0,0.0,220.0,87.18,230.0,46.87,255.0,12.41,148.0,1720.0,199.0,45.67,122.0,1400.0,0.0,0.0,142.0,48.75,148.0,35.8,249.0,129.4,212.0,188.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,207.0,0.87
4070TIS,152.0,74.02,0.0,0.0,0.0,0.0,0.0,0.0,96.0,161.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,9110.0,0.0,0.0,0.0,152.0,74.09,0.0,0.0,0.0,152.0,74.02,226.0,42.65,0.0,0.0,7.26,289.0,53.1,145.0,48.93,0.0,0.0,120.0,595.0,230.0,45.11,0.0,0.0,238.0,96.2,247.0,167.27,0.0,0.0,0.0,0.0,0.0,0.0,205.0,81.27,0.0,0.0,196.0,10.08,146.0,1660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,34.99,131.0,75.6,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,188.0,0.76
4070TI,108.0,64.54,0.0,0.0,0.0,1280.0,147.0,103.47,77.0,133.69,114.0,42.02,98.0,2280.0,0.0,0.0,150.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,107.0,6980.0,0.0,0.0,0.0,108.0,62.98,0.0,0.0,0.0,108.0,62.76,153.0,33.22,149.0,33.06,6.68,213.0,40.72,102.0,41.81,0.0,0.0,92.0,540.0,149.0,32.87,0.0,0.0,0.0,0.0,220.0,149.03,0.0,0.0,0.0,0.0,0.0,0.0,149.0,62.31,150.0,33.35,153.0,9.11,104.0,1510.0,121.0,33.72,76.0,1070.0,0.0,0.0,90.0,35.24,98.0,27.2,133.0,88.4,137.0,137.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,141.0,0.64
4070S,142.0,64.55,0.0,0.0,0.0,0.0,0.0,0.0,80.0,122.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,6710.0,0.0,0.0,0.0,141.0,65.98,0.0,0.0,0.0,0.0,0.0,189.0,33.21,0.0,0.0,5.6,237.0,37.46,131.0,41.86,0.0,0.0,109.0,504.0,199.0,35.23,0.0,0.0,197.0,73.6,192.0,121.41,0.0,0.0,0.0,0.0,0.0,0.0,173.0,62.1,0.0,0.0,166.0,7.81,121.0,1290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,26.38,108.0,57.8,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,166.0,0.66
4070,114.0,54.57,0.0,0.0,0.0,0.0,0.0,0.0,92.0,131.32,121.0,39.49,122.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,6710.0,0.0,0.0,0.0,120.0,62.26,0.0,0.0,0.0,124.0,62.26,161.0,31.4,0.0,0.0,5.0,199.0,39.5,109.0,36.49,0.0,0.0,85.0,415.0,169.0,33.06,141.0,31.32,157.0,66.37,173.0,122.12,0.0,0.0,0.0,0.0,0.0,0.0,151.0,60.46,168.0,32.5,132.0,6.99,101.0,1160.0,116.0,27.51,73.0,926.0,0.0,0.0,94.0,30.69,107.0,26.35,124.0,67.0,120.0,86.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,140.0,0.6
4060TI,73.0,38.55,0.0,0.0,0.0,0.0,0.0,0.0,63.0,87.49,83.0,26.44,76.0,1590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,4350.0,0.0,0.0,0.0,75.0,38.67,0.0,0.0,0.0,74.0,38.39,99.0,19.28,0.0,0.0,3.84,131.0,24.29,70.0,24.95,0.0,0.0,61.0,306.0,95.0,19.77,84.0,18.87,90.0,38.27,112.0,80.19,0.0,0.0,0.0,0.0,0.0,0.0,92.0,36.32,0.0,0.0,89.0,4.91,66.0,812.0,82.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,75.0,17.92,96.0,56.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,102.0,0.42
4060,70.0,33.39,0.0,0.0,0.0,0.0,0.0,0.0,61.0,83.82,89.0,23.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,3550.0,0.0,0.0,0.0,72.0,33.42,0.0,0.0,0.0,72.0,33.22,0.0,0.0,0.0,0.0,2.6,109.0,22.93,68.0,22.36,0.0,0.0,51.0,216.0,91.0,17.92,82.0,17.82,88.0,36.27,89.0,58.3,0.0,0.0,0.0,0.0,0.0,0.0,88.0,34.35,88.0,16.11,90.0,3.78,65.0,626.0,85.0,15.88,0.0,0.0,0.0,0.0,0.0,0.0,69.0,16.64,96.0,45.0,94.0,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,86.0,0.3
3090TI,329.0,128.5,0.0,0.0,0.0,0.0,0.0,0.0,245.0,260.84,0.0,0.0,180.0,5370.0,0.0,0.0,348.0,1.31,284.0,5.63,346.0,16.41,0.0,0.0,154.0,8.06,811.94,412.0,119.47,328.0,128.6,0.0,0.0,0.0,329.0,128.5,0.0,0.0,399.0,57.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.0,63.7,0.0,0.0,0.0,0.0,210.0,140.41,0.0,0.0,0.0,373.02,415.0,107.15,349.0,94.63,429.0,59.56,0.0,0.0,117.0,1220.0,0.0,0.0,235.0,1920.0,0.0,0.0,0.0,0.0,262.0,56.3,319.0,112.6,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,183.0,0.64
